"att1","att2","att3","att4","att5","att6","att7","att8","att9","outlier"
56,0,96,-1,50,-3,40,47,6,"no"
56,1,87,3,56,12,31,30,0,"no"
55,0,96,0,44,-13,41,52,12,"no"
56,0,97,-1,46,-3,41,51,10,"no"
56,0,96,4,42,2,40,55,14,"no"
38,0,77,2,38,0,39,38,0,"no"
55,0,77,-1,16,-2,22,62,40,"no"
37,0,79,-3,0,0,42,79,36,"no"
38,0,76,8,38,0,38,37,0,"no"
55,0,77,3,-20,0,21,97,76,"no"
55,0,77,0,38,27,22,39,16,"no"
37,0,104,1,24,0,67,80,14,"no"
37,1,90,0,24,21,52,66,14,"no"
49,4,83,0,46,-30,34,37,2,"no"
55,0,95,0,50,-18,40,46,6,"no"
84,4,86,-2,-4,0,3,92,88,"no"
56,0,97,-4,50,0,41,48,6,"no"
37,-2,106,0,34,-8,68,72,4,"no"
55,0,80,0,-10,0,25,90,66,"no"
37,0,104,0,30,-16,67,73,6,"no"
45,0,83,1,46,17,37,36,0,"no"
37,0,97,0,24,-7,60,73,14,"no"
39,-5,76,0,38,0,37,37,0,"no"
53,0,81,4,52,-7,28,30,2,"no"
38,1,81,0,38,3,43,43,0,"no"
37,0,81,0,28,-23,45,53,8,"no"
37,0,105,1,30,-10,68,74,6,"no"
56,0,80,2,-4,0,24,85,62,"no"
56,0,97,0,42,19,41,55,14,"no"
37,-5,76,0,20,0,40,55,16,"no"
38,0,92,8,12,0,54,79,24,"no"
55,0,98,0,52,-20,42,46,4,"no"
43,0,86,-2,42,-1,43,45,2,"no"
49,0,95,0,46,-1,47,49,2,"no"
37,0,78,0,0,3,42,78,36,"no"
46,-4,80,-1,46,0,34,34,0,"no"
46,0,86,-5,46,0,40,39,0,"no"
37,0,77,0,-22,5,41,101,60,"no"
41,0,80,-1,42,1,39,39,0,"no"
48,-4,86,0,46,0,39,40,2,"no"
37,0,79,8,24,0,42,56,14,"no"
41,2,78,0,38,-21,37,39,2,"no"
40,0,87,-1,38,-2,47,48,2,"no"
37,0,103,0,20,3,66,82,16,"no"
80,0,84,0,-40,26,4,125,122,"no"
45,0,86,0,44,-1,41,42,2,"no"
37,0,80,0,38,13,43,41,0,"no"
42,4,107,5,42,0,65,66,0,"no"
56,0,96,4,46,0,40,50,10,"no"
37,0,78,0,18,-4,41,60,18,"no"
41,0,77,0,38,-17,37,39,2,"no"
45,2,108,0,44,0,63,64,2,"no"
37,0,77,0,28,-1,40,48,8,"no"
43,0,85,-1,42,0,42,44,2,"no"
37,-1,80,2,-2,0,43,83,40,"no"
47,0,95,-7,46,0,48,48,0,"no"
48,0,81,5,46,0,33,34,2,"no"
53,0,83,0,54,16,30,29,0,"no"
51,0,82,0,50,-30,31,33,2,"no"
43,0,83,-1,42,0,40,41,2,"no"
37,0,79,4,38,15,42,41,0,"no"
52,3,86,0,52,0,34,35,0,"no"
37,0,78,0,0,-2,42,78,36,"no"
45,0,90,0,44,-13,45,46,2,"no"
37,0,77,0,18,-8,40,59,18,"no"
37,0,76,-4,28,-21,39,47,8,"no"
52,2,88,0,52,-3,35,36,0,"no"
43,0,86,-4,42,0,43,45,2,"no"
37,0,75,1,24,0,38,52,14,"no"
46,2,86,-4,46,0,40,40,0,"no"
53,0,85,0,52,-21,32,33,2,"no"
43,0,86,0,44,17,43,42,0,"no"
51,1,86,0,50,-24,35,37,2,"no"
54,-2,86,-2,54,-3,32,32,0,"no"
37,0,100,-1,28,0,63,71,8,"no"
55,0,92,0,-4,30,36,97,60,"no"
41,0,79,0,42,9,38,38,0,"no"
48,0,95,0,46,-3,47,49,2,"no"
56,0,97,3,50,-11,41,48,6,"no"
44,0,75,-2,42,-23,31,34,2,"no"
56,0,95,1,44,10,40,51,12,"no"
47,-1,76,-4,46,-6,30,30,0,"no"
56,0,79,1,8,0,24,72,48,"no"
101,0,102,0,72,15,1,30,28,"no"
43,0,95,-1,42,-12,52,54,2,"no"
37,0,80,0,28,14,43,52,8,"no"
41,-2,82,0,38,-7,41,43,2,"no"
49,0,86,2,50,0,37,37,0,"no"
41,0,82,0,38,-1,41,43,2,"no"
56,0,97,5,54,0,41,42,2,"no"
56,0,95,0,44,24,40,51,12,"no"
37,0,83,0,-4,-13,46,88,42,"no"
55,0,77,0,8,-1,22,70,48,"no"
37,0,77,0,34,-26,40,43,4,"no"
55,0,76,0,-14,9,21,92,70,"no"
37,0,76,-7,20,0,39,55,16,"no"
48,5,76,0,46,0,28,29,2,"no"
45,0,76,0,44,-5,30,32,2,"no"
55,0,79,0,12,1,23,66,42,"no"
50,4,80,0,50,0,30,31,0,"no"
55,0,97,0,46,-2,42,51,8,"no"
37,0,76,0,30,31,39,45,6,"no"
41,1,88,0,38,-30,47,50,2,"no"
46,5,86,0,46,11,40,39,0,"no"
56,0,79,-6,6,-4,24,74,50,"no"
56,1,78,0,18,31,22,60,38,"no"
37,0,95,0,20,-26,58,75,16,"no"
55,0,92,-1,36,-8,37,56,20,"no"
49,-1,86,0,50,5,37,37,0,"no"
37,4,77,0,36,0,41,41,0,"no"
37,0,107,0,28,-1,70,78,8,"no"
49,0,84,0,50,23,36,35,0,"no"
55,0,95,0,42,-10,40,54,14,"no"
37,0,97,1,18,-12,60,79,18,"no"
41,-2,83,0,42,0,42,42,0,"no"
41,-5,80,0,42,6,39,39,0,"no"
37,0,82,0,-2,16,45,85,40,"no"
50,4,78,-5,50,0,28,29,2,"no"
55,0,77,-1,16,0,21,61,40,"no"
56,0,77,0,18,-18,22,59,38,"no"
37,0,80,-2,12,-7,43,67,24,"no"
37,0,76,0,24,-1,40,53,14,"no"
46,0,76,-1,46,0,29,29,0,"no"
37,0,77,0,16,-21,40,62,22,"no"
37,0,80,0,12,25,43,67,24,"no"
37,0,79,0,36,-15,41,43,2,"no"
49,0,81,0,50,-6,32,32,0,"no"
37,0,76,-1,20,-3,40,55,16,"no"
55,-3,98,0,44,-24,42,54,12,"no"
56,0,96,-5,50,0,40,47,6,"no"
41,-1,76,-1,42,0,35,35,0,"no"
37,0,79,0,10,-26,43,69,26,"no"
37,-18,106,-1,34,-3,69,72,4,"no"
44,0,83,3,44,0,38,39,0,"no"
51,0,79,6,52,4,27,27,0,"no"
52,0,79,0,52,0,26,27,0,"no"
84,-10,89,0,8,0,5,81,76,"no"
56,0,82,2,-12,6,26,95,68,"no"
56,0,97,0,46,25,41,51,10,"no"
51,0,88,0,50,-15,37,39,2,"no"
56,0,82,0,54,-6,26,28,2,"no"
36,-3,83,5,36,0,46,46,0,"no"
37,-4,83,0,36,-11,46,47,2,"no"
55,0,77,-5,-10,0,21,87,66,"no"
58,0,86,-1,56,0,28,29,0,"no"
43,0,81,0,44,29,38,37,0,"no"
56,-4,99,0,46,-7,43,52,10,"no"
56,0,76,0,-10,4,20,86,66,"no"
37,0,76,-3,24,8,39,52,14,"no"
55,-3,98,1,46,0,42,51,8,"no"
47,2,84,0,46,0,36,37,0,"no"
37,0,76,4,26,0,39,50,12,"no"
41,3,81,0,42,2,40,40,0,"no"
42,-1,85,0,42,0,43,44,2,"no"
49,0,77,4,50,4,28,28,0,"no"
55,-5,91,0,56,24,35,34,0,"no"
48,-2,86,0,46,-1,38,40,2,"no"
55,-2,81,0,-10,-2,26,92,66,"no"
41,2,78,0,38,-35,37,39,2,"no"
48,5,93,-4,46,0,46,47,2,"no"
37,0,86,1,36,0,50,50,0,"no"
37,0,76,-6,28,-4,39,47,8,"no"
106,0,108,7,70,0,2,38,36,"no"
37,0,108,0,34,-30,71,75,4,"no"
53,-2,86,0,52,-30,33,35,2,"no"
44,2,90,-7,42,-14,46,48,2,"no"
58,3,97,0,56,0,39,40,0,"no"
41,0,77,0,42,12,36,36,0,"no"
49,0,95,0,46,-3,47,49,2,"no"
77,4,81,0,-40,0,4,123,118,"no"
47,2,75,0,46,0,28,28,0,"no"
41,0,87,0,38,-3,46,48,2,"no"
48,-2,84,0,46,-3,36,38,2,"no"
37,2,100,0,36,0,64,64,0,"no"
41,0,77,0,38,-3,37,39,2,"no"
56,0,81,0,-10,-7,25,91,66,"no"
50,0,91,0,50,0,41,42,0,"no"
51,0,109,5,50,-30,58,60,2,"no"
55,0,96,-1,50,0,41,47,6,"no"
39,4,102,0,38,0,62,63,0,"no"
43,0,81,-3,42,-1,37,39,2,"no"
76,0,81,0,-42,-3,5,125,120,"no"
37,-4,102,-1,34,0,65,69,4,"no"
45,0,86,1,44,0,40,42,2,"no"
41,0,87,0,42,21,46,46,0,"no"
44,5,86,0,44,19,42,42,0,"no"
41,-4,86,-2,42,0,45,44,0,"no"
78,0,83,1,-46,0,4,129,124,"no"
49,0,81,0,46,-30,31,34,2,"no"
42,1,81,0,42,0,38,39,2,"no"
37,0,83,0,0,-30,46,83,36,"no"
76,-3,81,-2,-40,30,5,123,118,"no"
56,0,97,0,52,26,41,45,4,"no"
37,0,80,0,8,26,43,72,28,"no"
50,1,102,0,50,0,52,53,0,"no"
37,0,79,0,12,-4,43,66,24,"no"
56,0,77,0,-14,26,21,92,72,"no"
37,0,79,0,18,4,43,61,18,"no"
56,2,78,2,24,0,22,55,32,"no"
38,0,86,0,38,11,48,47,0,"no"
37,0,76,0,30,22,40,45,6,"no"
37,0,77,0,30,-16,40,46,6,"no"
37,0,78,0,12,8,42,65,24,"no"
55,0,77,0,12,-30,22,65,42,"no"
55,-1,88,0,54,-1,32,33,2,"no"
56,0,95,0,50,-8,40,46,6,"no"
37,0,76,7,28,12,40,48,8,"no"
37,0,104,0,28,21,67,75,8,"no"
46,0,87,-1,46,5,41,41,0,"no"
37,0,76,0,30,8,40,45,6,"no"
47,0,84,-2,46,0,37,38,0,"no"
57,1,97,6,56,0,40,40,0,"no"
56,0,77,0,16,-1,22,62,40,"no"
44,4,77,0,44,2,33,34,0,"no"
44,-1,79,-5,44,4,36,35,0,"no"
37,0,77,0,28,69,40,48,8,"no"
42,1,106,0,42,0,64,64,0,"no"
37,0,79,0,12,-19,43,66,24,"no"
46,0,107,-4,46,2,61,60,0,"no"
43,0,96,3,42,-1,53,55,2,"no"
39,0,83,1,38,0,45,44,0,"no"
45,1,81,0,44,0,37,37,0,"no"
37,0,79,0,6,-6,42,74,32,"no"
41,-5,77,0,38,-26,36,38,2,"no"
43,0,86,-6,42,-6,43,45,2,"no"
37,0,75,0,36,17,37,39,2,"no"
49,3,83,0,50,5,34,34,0,"no"
38,1,86,0,38,8,49,48,0,"no"
86,4,89,0,2,-8,3,86,84,"no"
48,-2,110,0,46,-3,62,64,2,"no"
56,0,81,0,-14,0,25,97,72,"no"
51,0,78,0,52,12,27,26,0,"no"
46,0,85,1,44,-29,39,41,2,"no"
51,1,86,0,52,28,35,34,0,"no"
49,0,81,0,50,0,32,32,0,"no"
56,0,76,0,-12,-1,20,89,68,"no"
40,0,80,0,42,25,40,39,0,"no"
41,0,86,-1,38,-2,45,47,2,"no"
45,3,106,-1,44,-3,61,62,2,"no"
41,1,76,0,42,15,35,35,0,"no"
40,-3,109,0,38,0,68,70,2,"no"
56,1,80,0,54,-30,24,26,2,"no"
51,0,88,0,50,-19,37,39,2,"no"
104,0,104,-1,70,0,1,35,34,"no"
56,1,97,0,54,0,41,42,2,"no"
55,0,77,-1,-28,1,21,105,84,"no"
37,0,76,-6,24,11,39,52,14,"no"
42,-1,79,0,42,0,38,38,0,"no"
43,-5,86,-2,42,0,44,45,2,"no"
46,-1,84,-2,46,-3,38,38,0,"no"
46,0,83,0,46,12,37,36,0,"no"
55,0,77,2,28,0,22,49,26,"no"
41,0,108,0,42,5,67,67,0,"no"
45,-3,76,0,46,9,31,30,0,"no"
48,3,83,0,46,0,35,36,2,"no"
49,0,95,4,46,-30,46,49,2,"no"
45,4,76,0,44,0,32,32,0,"no"
46,1,86,4,46,-1,40,39,0,"no"
46,3,76,0,46,6,30,29,0,"no"
53,0,87,1,52,-8,34,35,2,"no"
43,-1,85,0,42,-10,42,44,2,"no"
37,0,79,-2,10,-5,42,68,26,"no"
41,4,75,0,42,21,34,34,0,"no"
43,-5,76,1,42,-19,33,35,2,"no"
42,4,79,0,42,0,37,38,0,"no"
51,0,86,0,50,-27,35,37,2,"no"
37,0,76,0,28,26,40,48,8,"no"
44,0,89,0,42,-18,45,48,2,"no"
55,0,78,3,46,0,23,32,8,"no"
37,0,78,0,-4,0,42,83,42,"no"
37,0,76,0,26,-21,40,50,10,"no"
41,1,77,8,42,13,36,35,0,"no"
37,0,78,0,36,-13,41,42,2,"no"
45,0,118,1751,310,15164,73,-191,-264,"no"
37,-1,76,0,36,-13,39,40,2,"no"
56,1,87,0,56,20,31,30,0,"no"
46,0,88,3,46,0,42,42,0,"no"
55,0,80,0,-6,-29,25,88,64,"no"
37,0,106,0,36,4,68,69,2,"no"
37,0,94,-5,16,0,57,79,22,"no"
56,1,98,0,44,22,42,54,12,"no"
45,0,76,0,44,-2,31,32,2,"no"
37,-51,106,-1,30,0,69,75,6,"no"
37,0,75,0,38,23,37,36,0,"no"
37,0,77,0,6,-22,40,72,32,"no"
55,0,77,0,16,20,22,62,40,"no"
56,0,97,0,52,20,41,46,4,"no"
56,3,85,0,56,1,29,28,0,"no"
46,-3,90,0,46,0,44,44,0,"no"
37,1,81,-2,34,0,44,48,4,"no"
44,0,77,0,44,6,33,33,0,"no"
44,3,77,0,44,1,33,34,0,"no"
55,4,81,5,54,0,25,26,2,"no"
37,0,80,0,24,9,43,57,14,"no"
37,0,99,-1,28,-3,61,70,8,"no"
44,0,81,-1,44,10,38,37,0,"no"
37,0,77,0,-6,0,41,85,44,"no"
39,-4,86,0,38,0,48,48,0,"no"
47,0,90,6,46,0,43,43,0,"no"
37,0,106,0,24,14,69,82,14,"no"
80,0,84,-5,-20,0,4,105,100,"no"
37,0,75,-6,24,0,38,52,14,"no"
41,0,89,-1,38,-15,48,50,2,"no"
67,0,109,-5,68,0,42,42,0,"no"
52,0,86,3,52,0,34,34,0,"no"
37,0,81,5,36,-4,43,44,2,"no"
49,0,102,0,50,6,53,53,0,"no"
55,0,78,5,10,1,23,68,46,"no"
37,0,81,0,10,-3,45,71,26,"no"
45,0,88,0,44,-5,42,44,2,"no"
49,3,84,0,46,-14,35,37,2,"no"
56,1,82,0,54,-6,26,28,2,"no"
41,-1,78,-4,42,-6,37,37,0,"no"
56,0,97,0,54,5,40,42,2,"no"
37,0,79,0,2,-12,42,76,34,"no"
